,Token,Relation,Head,Children
0,love,nsubj,echo,[]
1,echo,ROOT,echo,"[love,  ]"
2, ,dep,echo,[]
3,loved,ROOT,loved,[ ]
4, ,dep,loved,[]
5,sometimes,advmod,playing,[]
6,playing,csubj,turn,"[sometimes, question, correctly, alexa, say, got]"
7,game,compound,answer,[  ]
8,  ,dep,game,[]
9,answer,compound,question,[game]
10,question,dobj,playing,[answer]
11,correctly,advmod,playing,[]
12,alexa,dobj,playing,[]
13,say,aux,playing,[]
14,got,aux,playing,[answer]
15,wrong,amod,answer,[]
16,answer,dobj,got,"[wrong,   , like]"
17,  ,dep,answer,[]
18,like,prep,answer,[]
19,able,aux,turn,[]
20,turn,ROOT,turn,"[playing, able, light, away, home]"
21,light,dobj,turn,[]
22,away,advmod,turn,[]
23,home,advmod,turn,[ ]
24, ,dep,home,[]
25,lot,amod,thing,[]
26,fun,compound,thing,[]
27,thing,nsubj,learns,"[lot, fun,     , yr, old]"
28,    ,dep,thing,[]
29,yr,prep,thing,[]
30,old,amod,thing,[]
31,learns,ROOT,learns,"[thing, game, well]"
32,dinosaur,compound,control,[  ]
33,  ,dep,dinosaur,[]
34,control,compound,game,[dinosaur]
35,light,compound,play,[]
36,play,compound,game,[light]
37,game,dobj,learns,"[control, play, like]"
38,like,prep,game,[music]
39,category,nmod,music,[  ]
40,  ,dep,category,[]
41,nice,amod,music,[]
42,sound,amod,music,[]
43,playing,amod,music,[]
44,music,pobj,like,"[category, nice, sound, playing]"
45,well,advmod,learns,[ ]
46, ,dep,well,[]
47,music,ROOT,music,[]
48,received,advcl,play,[gift]
49,echo,compound,gift,[]
50,gift,dobj,received,"[echo,   , needed]"
51,  ,dep,gift,[]
52,needed,acl,gift,[bluetooth]
53,another,det,bluetooth,[]
54,bluetooth,dobj,needed,[another]
55,something,nsubj,play,[]
56,play,ROOT,play,"[received, something, music, speaker, wait]"
57,music,dobj,play,[]
58,easily,advmod,accessible,[]
59,accessible,amod,speaker,"[easily,   ]"
60,  ,dep,accessible,[]
61,found,amod,speaker,[]
62,smart,amod,speaker,[]
63,speaker,dobj,play,"[accessible, found, smart,     ]"
64,    ,dep,speaker,[]
65,wait,advcl,play,[see]
66,see,xcomp,wait,[else]
67,else,advmod,see,[ ]
68, ,dep,else,[]
69,without,mark,use,[]
70,cellphone,nsubj,use,[  ]
71,  ,dep,cellphone,[]
72,use,ROOT,use,"[without, cellphone, ipad, see, use]"
73,many,amod,ipad,[]
74,feature,compound,ipad,[  ]
75,  ,dep,feature,[]
76,ipad,dobj,use,"[many, feature]"
77,see,xcomp,use,[]
78,use,conj,use,"[  , alarm]"
79,  ,dep,use,[]
80,great,amod,alarm,[]
81,alarm,dobj,use,"[great,   ]"
82,  ,dep,alarm,[]
83,u,intj,deaf,[r]
84,r,nummod,u,[]
85,almost,advmod,deaf,[]
86,deaf,nsubj,hear,"[u, almost,   ]"
87,  ,dep,deaf,[]
88,hear,ROOT,hear,"[deaf, keep]"
89,alarm,compound,bedroom,[]
90,bedroom,compound,room,[alarm]
91,living,compound,room,[]
92,room,compound,reason,"[bedroom, living,   ]"
93,  ,dep,room,[]
94,reason,nsubj,keep,"[room, enough]"
95,enough,advmod,reason,[]
96,keep,ccomp,hear,"[reason, her, it, fun]"
97,her,dobj,keep,[]
98,it,dobj,keep,[]
99,fun,oprd,keep,[]
100,ask,ROOT,ask,"[question, hear, yet]"
101,random,amod,question,[]
102,question,dobj,ask,[random]
103,hear,xcomp,ask,[seem]
104,response,nsubj,seem,[  ]
105,  ,dep,response,[]
106,seem,ccomp,hear,"[response, politics]"
107,smartbon,compound,politics,[]
108,politics,oprd,seem,[smartbon]
109,yet,advmod,ask,[ ]
110, ,dep,yet,[]
111,think,advcl,offer,"[ , purchased]"
112, ,dep,think,[]
113,th,quantmod,one,[]
114,one,nsubj,purchased,"[th,  ]"
115, ,dep,one,[]
116,ve,aux,purchased,[]
117,purchased,ccomp,think,"[one, ve,    , working]"
118,   ,dep,purchased,[]
119,m,aux,working,[]
120,working,xcomp,purchased,"[m, getting]"
121,getting,xcomp,working,"[house, really]"
122,one,nummod,house,[]
123,every,det,house,[]
124,room,compound,house,[]
125,house,dobj,getting,"[one, every, room,   ]"
126,  ,dep,house,[]
127,really,advmod,getting,[]
128,like,mark,offer,[]
129,feature,nsubj,offer,[]
130,offer,ROOT,offer,"[think, like, feature, echo, controlling]"
131,specifily,advmod,playing,[]
132,playing,amod,music,[specifily]
133,music,compound,echo,[playing]
134,echo,dobj,offer,[music]
135,controlling,advcl,offer,"[light, throughout]"
136,light,dobj,controlling,[]
137,throughout,prep,controlling,[house]
138,house,pobj,throughout,[ ]
139, ,dep,house,[]
140,look,ROOT,look,[great]
141,great,acomp,look,[]
142,love,nsubj,listened,[    ]
143,    ,dep,love,[]
144,listened,ROOT,listened,"[love, song, get]"
145,song,dobj,listened,"[  , heard]"
146,  ,dep,song,[]
147,heard,acl,song,[]
148,since,mark,get,[]
149,childhood,nsubj,get,[  ]
150,  ,dep,childhood,[]
151,get,advcl,listened,"[since, childhood, information]"
152,news,compound,weather,[  ]
153,  ,dep,news,[]
154,weather,compound,information,"[news,   ]"
155,  ,dep,weather,[]
156,information,dobj,get,"[weather,     , great]"
157,    ,dep,information,[]
158,great,amod,information,[ ]
159, ,dep,great,[]
160,sent,ROOT,sent,"[  , talk]"
161,  ,dep,sent,[]
162,year,npadvmod,old,[]
