,NN,VBN,RB,VBG,JJR,JJ,VBP,IN,VBZ,VBD,DT,VB,NNS,PRP$,PRP,CD,CC,MD,RBR,JJS,FW,TO,WRB,RP,WP,EX,WP$,WDT,NNP,RBS,UH
0,medium,read,i,understanding,cheaper,re,read,en,corresponds,tickled,another,read,others,my,teacher,joke,p,can,ve,newest,en,a,when,bathroom,who,there,s,v,x,k,s
1,stat,ignored,bit,exchanging,sister,fire,buy,nicer,depreciates,re,all,settle,know,r,oh,four,or,must,longer,cheapest,understand,na,o,alexa,r,t,o,r,s,m,y
2,navigation,raised,importantly,interacting,cualquier,intrusive,reccomend,whether,broken,handled,either,buy,dj,her,i,o,either,buld,better,worst,gotten,n,w,audio,s,,w,whatever,jump,best,yes
3,agent,cancelled,straightforward,touching,bigger,adopter,re,with,task,red,this,reccomend,integrates,weather,s,n,s,o,daughter,oldest,know,to,wow,p,warehouse,,h,whatsoever,fire,e,e
4,pin,dated,presumably,asking,w,tardis,gb,thestand,guy,ran,need,check,chat,h,me,e,netflix,wo,listen,s,respuesta,,whenever,awhile,u,,e,w,k,a,oh
5,i,programmed,continually,i,speaker,understanding,funciona,laugh,writes,loaded,o,list,poop,e,itself,three,minus,w,ease,coolest,pel,,woken,up,o,,,h,u,,
6,ecosystem,adapted,luckily,activating,dimmer,laugh,know,i,solves,reduced,h,know,recordings,,you,million,u,may,easier,est,video,,,u,w,,,t,xbox,,
7,bit,effected,excellently,talking,sooner,red,couple,nightstand,speaks,shocked,t,act,ceilings,,us,yr,bother,might,louder,youngest,listen,,,ask,wink,,,e,xfinity,,
8,desktop,compared,not,sewing,higher,appear,turn,as,type,experienced,bluetooth,added,i,,we,six,youtube,ca,closer,b,s,,,amazon,discoveredthat,,,chat,speaker,,
9,telephone,surprised,awhile,spacing,longer,dependable,start,battery,tech,cracked,neither,move,outdoors,,myself,kasa,need,okay,b,biggest,se,,,away,h,,,a,kitchen,,
10,improvement,followed,nd,walking,better,cohesive,philip,bit,dims,embarrassed,every,turn,kodi,,youtube,one,l,need,lm,honest,de,,,shout,chat,,,,xm,,
11,compatible,upset,typically,amusing,worse,lightbulb,am,around,phillips,dedicated,no,start,superb,,it,two,plus,would,m,request,atenci,,,outlet,e,,,,,,
12,ball,survived,technically,lighting,shower,i,appear,audiophile,provides,improved,r,prove,need,,t,five,weather,could,weather,best,semana,,,around,a,,,,,,
13,convenience,heard,actually,amazing,older,quot,benefit,nil,activates,bed,some,dig,levels,,mother,make,bluetooth,,t,t,m,,,off,warranty,,,,,,
14,lolol,owned,defently,offing,s,welcome,refer,need,appears,obsessed,n,install,grows,,he,wifi,neither,,skype,least,echo,,,out,what,,,,,,
15,provide,changed,magically,glaring,speak,coolest,nightstand,overa,podcasts,thought,the,mile,interrupt,,she,ordered,le,,enjoy,nest,del,,,back,,,,,,,
16,live,excited,sometime,speaking,newer,compatible,i,practicalthan,pop,felt,half,slow,electronics,,,zero,echo,,sever,guest,etc,,,over,,,,,,,
17,one,limited,netflix,spelling,greater,need,change,library,cozi,worked,tooth,i,towards,,,hundred,n,,feel,e,non,,,alarm,,,,,,,
18,reputation,installed,thong,implementing,charger,force,need,though,arises,referred,e,change,upstairs,,,,but,,happier,highest,n,,,,,,,,,,
19,thought,reached,overall,considering,easier,digital,hubs,in,clock,dropped,a,limited,askes,,,,tooth,,le,greatest,el,,,,,,,,,,
20,garage,shown,away,holding,lower,pm,stink,best,rotates,moved,,freeze,button,,,,,,r,,la,,,,,,,,,,
21,dp,suck,ok,expanding,bother,lose,connect,upon,involves,advanced,,reboot,installs,,,,,,learn,,kitchen,,,,,,,,,,
22,engage,missed,broadway,choosing,louder,potential,find,across,lamp,supposed,,hide,glasses,,,,,,harder,,rapidez,,,,,,,,,,
23,support,controlled,far,crackling,simpler,dedicated,choose,non,happens,updated,,bit,prevents,,,,,,e,,e,,,,,,,,,,
24,tooth,bundled,anytime,downloading,beginner,usde,ai,beyond,includes,called,,bring,cup,,,,,,later,,,,,,,,,,,,
25,account,need,show,placing,answer,st,recipe,except,ask,contacted,,spur,uses,,,,,,faster,,,,,,,,,,,,
26,eh,combined,let,coming,yeah,amazing,serve,pause,playlists,wanted,,need,worked,,,,,,love,,,,,,,,,,,,
27,extent,dedicated,song,finding,prettier,improved,rep,k,av,entertained,,improve,wonderful,,,,,,,,,,,,,,,,,,
28,water,made,finally,viewing,larger,live,tiene,nd,updates,geek,,connect,non,,,,,,,,,,,,,,,,,,
29,rarity,payed,ever,going,weather,bed,provide,override,intercom,shipped,,find,politics,,,,,,,,,,,,,,,,,,
30,game,thought,late,integrating,enjoy,chargeable,offer,albeit,becomes,went,,psychological,ontrac,,,,,,,,,,,,,,,,,,
31,w,worked,extrimelly,sibling,younger,audiobook,live,use,requires,addicted,,choose,devices,,,,,,,,,,,,,,,,,,
32,tablet,required,grandmother,shooting,happier,loos,join,since,etc,cursed,,interrupt,believe,,,,,,,,,,,,,,,,,,
33,house,reminded,abc,responding,le,local,sleep,over,n,recommended,,convenience,dims,,,,,,,,,,,,,,,,,,
34,phillip,recorded,elsewhere,requesting,r,accent,dismiss,awesome,loses,retired,,resolved,settins,,,,,,,,,,,,,,,,,,
35,geek,moved,otherwise,increasing,calmer,original,have,trivia,kitchen,closed,,charge,eh,,,,,,,,,,,,,,,,,,
36,operate,sliced,rather,overcoming,n,enhanced,feel,amazon,device,show,,lose,wait,,,,,,,,,,,,,,,,,,
37,bunch,paired,downside,steaming,cleaner,thought,naw,inside,downstairs,let,,plus,teeth,,,,,,,,,,,,,,,,,,
38,pain,supposed,routinely,liking,harder,felt,prefer,unlike,alexa,ordered,,provide,phillips,,,,,,,,,,,,,,,,,,
39,purpose,deployed,dislike,repeating,smaller,capable,cook,receiver,enjoys,bothered,,improved,purchases,,,,,,,,,,,,,,,,,,
40,exasperation,realized,everywhere,according,e,type,friend,until,randomly,ditched,,live,refers,,,,,,,,,,,,,,,,,,
41,rest,looked,well,buffering,father,elderly,believe,thermostat,seems,knew,,sleep,glad,,,,,,,,,,,,,,,,,,
42,show,zonked,forever,reconnecting,love,advanced,port,next,tends,worried,,a,sends,,,,,,,,,,,,,,,,,,
43,barry,updated,friendly,gaming,a,unwitty,tech,bother,bezos,repeated,,have,plug,,,,,,,,,,,,,,,,,,
44,let,exceeded,therefore,entertaining,timer,tooth,thousand,via,speaker,learned,,feel,audiobooks,,,,,,,,,,,,,,,,,,
45,hassle,started,strictly,reminding,,unimportant,trek,de,ve,receivded,,na,toy,,,,,,,,,,,,,,,,,,
46,song,called,so,staging,,discovery,home,of,video,impressed,,prefer,amazon,,,,,,,,,,,,,,,,,,
47,website,sized,mother,looking,,outstanding,include,thorough,plugins,ended,,disconnect,yes,,,,,,,,,,,,,,,,,,
48,resolve,constructed,d,traveling,,download,save,bathroom,s,kid,,exchange,replaces,,,,,,,,,,,,,,,,,,
